07/14/16 17:52:26:608.000  - [506115] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 17:52:26:608.000  - [506115] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
07/14/16 17:52:26:608.000  - [506115] TRACE - Model: iPad5,3 [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:109]
07/14/16 17:52:26:612.000  - [506115] TRACE - Serial: 56335F086F3446F7B8A86FA94E2DD7DD [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:111]
07/14/16 17:52:26:612.000  - [506115] ERROR - GetMobileScreenSize failed! The device is not supported. [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:477]
07/14/16 17:52:26:612.000  - [506115] TRACE - Leave MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:54:41:998.000  - [506787] TRACE - Enter MojingSDK_API_Init [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:75]
07/14/16 17:54:41:998.000  - [506787] TRACE - Init under MAC OS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:77]
07/14/16 17:54:41:998.000  - [506787] TRACE - Init under iOS [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:85]
07/14/16 17:54:41:998.000  - [506787] TRACE - Init under IPHONE [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:88]
07/14/16 17:54:41:998.000  - [506787] TRACE - Brand: Apple [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSAPI.mm:107]
07/14/16 17:54:41:998.000  - [506787] WARN - GetMobileModelName failed [/Users/sdkpublishbuilder/.jenkins/workspace/VR3_MojingSDKIOS/jni/Interface/ios/MojingIOSBase.mm:414]
